company_name,job_description,position_title,portal
The Coca Cola Company,,Warehouse Manager,LinkedIn
Coca-Cola Consolidated,requisition id posting locations lexington click view day life teammates secret ingredient teammates offer great rewards competitive pay career advancement growth opportunities full time teammates also eligible paid training paid time plus paid holidays k company matching dollarfordollar basis employee stock purchase plan espp group health insurance medical dental vision disability basic supplemental life insurance refresh grow career job overview manager iv responsible leading warehouse annual volume cases entails leading developing executing warehouse functions fastpaced customer serviceoriented environment functions include limited safety security inbound management labor management talent development facility equipment maintenance inventory management warehouse manager iv also responsible management entire facility assets addition manager iv responsible regulatory compliance osha fda others duties responsibilities leads budgeting workforce management activities well execution logistics functions including limited safety security inbound management labor management talent development facility equipment maintenance customer service performs proactive indepth evaluation acts results key performance indicators safety performance cost case inventory shrink percentage cases manhour done continually assessing logistics processes identify implement productivity improvements costsaving programs ensuring delivery financial operating plan manages efficiencies multimilliondollar highvolume automated picking building system present initiates crossfunctional collaboration conducting regular cadence meetings intentional interaction business partners franchise operations supply chain operations safety risk hurelations etc supports sales daily observation inventory levels ensure product available needed ensures regular coordination supply chain analysts reduce likelihood stocks also minimizing inventory days hand maintains value company assets proactive administration prioritization repairs upgrades manages entirety facility regarding security appearance operative functions manages leads motivates team deliver results communicating company goals safety practices deadlines engaging developing teammates effective performance management coaching training implements continuous improvement methods maintaining customer focus embodying company purpose values inspire servant leadership knowledge skills abilities strong leadership skills problemsolving financial acumen strong crossfunctional collaborative agility ability build strong culture create strong safety environment manage tough complex situations think proactively hire train develop talent organization experience managing unique complex situations fastpaced highpressure environment necessary minimum qualifications high school diploma ged drivers license required preferred qualifications knowledge acquired years work experience bachelors degree preferred business supply chain engineering certified forklift operator license preferred work environment work environment vary cocacola consolidated inc equal opportunity employer,Warehouse Manager IV,hirist
Graham Packaging,understands follows enforces established safety health quality gmp company policies procedures recognized practices understands follows enforces established policies procedures recognized practices accountable safety housekeeping assigned shipping receiving logistic operations responsible selection training development logistic line staff personnel attain department goals exercises direct supervisory control quality work performed logistic staff operation coordinates maintenance manager preventive maintenance required logistic equipment supervises taking physical monthly quarterly year end inventories accordance corporate guidelines coordinating activity production scheduler verify physical inventory bottles cases partitions labels investigates variances book inventory develops new methods procedures optimize shipping efficiency reduce costs maximize space utilization arranges transportation coordinator trailers carriers pickups road loads establishes fifo first infirst may responsible special projects related functional areas limited travel may required requirements bachelors degree andor related warehouse manager experience equivalent combination education related manager experience required minimum five years experience supervisory management role manufacturing environment demonstrated leadership skills strongly preferred warehouse managers required interact managers employees vendors customers therefore following skills proficiencies also essential requirements position ability maintain regular predictable punctual attendance computer usage typing skills essential excellent verbal written communication including ability effectively communicate internal external customers must able work pressure meet deadlines maintaining positive attitude providing exemplary customer service ability work independently carry assignments completion parameters instructions given prescribed routines standard accepted practices communicates effectively conveys facts information clearly verbally orally collaborates well others proactively contributes group objectives volunteers help others job type fulltime pay year schedule hour shift experience warehouse experience year preferred work location one location,Warehouse Manager,naukari
Floor & Decor,purpose warehouse supervisor responsible directing overseeing warehouse operations retail store addition supervisor responsible supervising warehouse specialists order pickers forklift operators support receiving supervisor managing daily freight schedule based customer inventory needs major responsibilities responsible daily scheduling warehouse personnel ensure proper manning order ship receive products store productive costefficient manner direct dayto day activities activities include shipping receiving maintenance inventory control etc responsible warehouse pertains storage buy transactions receiving errors staging products responsible maintenance warehouse equipment providing preventive maintenance programs communicating necessary repairs cem operations manager ensure personnel safe efficient equipment order perform distribution functions responsible safety programs order provide safe clean workplace employees regulations osha local state regulations ensure associates trained following standard operating procedures responsible progressive disciplinary process area counseling oral written warnings ensures productive labor climate warehouse operation handle general employee inquiries solves problems coordinate departments facilitate efficient operations complete necessary activity reports management monitor flow paperwork receiving inventory control specialist timely data entry resolve discrepancies shipping invoices packing slips receiver reports responsible execution storage buy audit cop ensure products staged counting inspection ensure products stored properly conserve space comply safety procedures oversee rotation inventories warehouse perform related duties directed management minimum eligibility requirements years previous supervisory experience required preferably warehouse distribution center environment excellent interpersonal team building delegating followup skills ability work maintain effective working relationships departments company effective communication skills oral written competent performing basic mathematical calculations strong computer skills ability work windowsbased systems ability work fast paced environment meet established deadlines available work extended hours especially peak seasons working conditions travel hours environment performing duties job employee frequently exposed warehouse environment moving vehicles noise level work environment typically moderate noisy physicalsensory requirements physical work ability exert pounds force occasionally pounds force frequently andor greater negligible pounds force constantly lift carry push pull otherwise move objects employee often required use hands fingers handle feel employee frequently required stand walk reach arms hands climb balance stoop kneel crouch crawl note duties responsibilities listed considered essential job functions requirements subject possible modification reasonably accommodate individuals disabilities marginal functions position incidental performance fundamental job duties included however omission specific statements duties exclude position work similar related logical assignment position job description constitute employment agreement employer employee subject change employer needs business requirement job change store hours monday friday pm saturday pm sunday pm benefits rewards bonus opportunities level career advancement opportunities relocation opportunities country discretionary company match employee stock purchase plan referral bonus program corporate discount programs medical dental vision life insurance plans subject eligibility criteria equal employment opportunity floor decor equal opportunity employer committed equal opportunity associates applicants fd recruits hires trains promotes compensates administers personnel actions regard race color religion sex sex stereotyping pregnancy includes pregnancy childbirth medical conditions related pregnancy childbirth breastfeeding gender gender identity gender expression national origin age mental physical disability ancestry medical condition marital status military veteran status citizenship status sexual orientation genetic information status protected applicable law policy applies areas employment including recruitment testing screening hiring selection training upgrading transfer demotion layoff discipline termination compensation benefits privileges terms conditions employment policy law prohibit employment discrimination associate applicant basis legally protected status outlined,Warehouse Supervisor,hirect
Norwalk Furniture & Design,youll main face contact norwalk furnitures norwalk furniture luxury furniture design firm company prides customer service longterm relationships strive find someone hold values duties responsibilities requirements must able carry minimum responsible receiving inspecting delivering shipments must strong organizational skills must strong time management skills responsible scheduling coordinating parttime workers responsible scheduling coordinating deliveries designers customers must professional clean appearance must strong communication skills must able work excel proficiently must able drive box truck must clean driving record must able pass drug test random requires quick problemsolving skills day fun different job type fulltime pay hour job type fulltime pay hour benefits k employee discount flexible schedule health insurance paid time schedule hour shift day shift monday friday supplemental pay bonus pay ability commuterelocate lexington ky reliably commute planning relocate starting work required education high school equivalent preferred experience warehouse experience year required language english required shift availability day shift required night shift preferred work location one location,Warehouse Manager,naukari
Standlee Premium Western Forage,,Warehouse Management Specialist,indeed
Lansing Building Products,lansing building products supplied professional contractors highquality building products founding led third generation president ceo hunter lansing remain true family values mission respect service excellence everything acquisition harvey building products distribution business company brings one roof associates serving customers branches states look future lansing focused taking industry storm bestinclass experience associates customers responsibilities lives mission statement manages warehouse operations including personnel handles aspects inventory management manages loading unloading exterior building products siding windows gutter coordinates shipments ensure deliveries time accurate works alongside warehouse associates loadingunloading trucks hires manages warehouse personnel approves associates schedules minimize overtime establishes bin locations oversees daily cycle counts inventory accuracy verifies accuracy orders picked shipments received knows forklift keeps warehouse clean orderly qualifications prior warehouse management experience preferred years previous materialhandling experience forklift certification experience driving box truck preferred ability lead team andor work oneonone customers ability willingness lift boxes specific building materials weighing much lbs strong customer service skills ability work successfully pressure deadlines accept new ways business high integrity high energy positive attitude ability navigate technology schedule deliveries manage inventory benefits medical dental vision coverage company paid life insurance disability industry leading paid holidays paid vacation time health wellness program generally weekend worknormal hours mondayfriday pm thank interest company lansing building products proud equal opportunity workplace committed building diverse team qualified individuals unfortunately able followup applicant run indepth process candidates identify potential fit please continue monitor email updates position,"Warehouse Manager - Lexington, KY",LinkedIn
AVI Foodsystems,,Warehouse Supervisor,shine
NASB Financial Inc.,bank teller csr north oak signon bonus opportunity available mission create exceptional experiences customers help achieve dreams looking exceptional people talent passion help make dreams come true looking career great company culture potential growth opportunity make difference lives others north american savings bank deliver bestinclass customer service right financial solutions help customers achieve dreams buying first home planning retirement anything believe exceptional customer service starts cultivating exceptional work cultureone recognizes rewards hard work provides right tools success believes healthy happy associates foundation strong organization nasb business years rapid growth means looking new team members want grow retail banking locations treat customers family number one priority help customers select right products financial goals adaptable innovative always looking unique ways get job done improve process earth caring empathetic always ensuring customers comfortable confident bank currently looking bank teller csr join north oak team job summary nasb mission creating rewarding relationships delivering guidance genuine service unique customers dreams aspirations fulltime representative responsible providing superior customer service greeting customer enter bank answering phone promptly taking ownership interaction first impressions never get second chance nasb strives ensure everyone maintains positive friendly professional attitude always key aspects role include ability identify customers financial needs confidence refer crosssell nasb products achieve goals ensuring deepen customer relationships inperson phone interactions processing customer transactions accurately efficiently adhering bank policies procedures offer ability understand needs desires customers prior retailcustomerfacing experience preferred high school diploma equivalent required strong communication skills oral written strong time management organizational skills must detailoriented strong public relations skills math aptitude computer literate experience using microsoft office applications business casual dress professional manner required hours monday friday alternating saturdays work environment position based north oak branch vaccine policy nasb vaccine policy requires employees vaccinated offer nasb offers competitive compensation excellent benefits packages including comprehensive health insurance options including medical dental vision coverage k retirement plan immediate employer match generous paid vacation sick personal days plus enjoy bonus day birthday exclusive mortgage banking benefits paid holidays volunteer time free parking nasb facilities employee referral bonuses internal training programs help reach career goals questions please contact jobsnasbcom note job description construed imply requirements exclusive standards position incumbents follow instructions perform related duties may required employer right revise job description time job description construed contract employment north american savings bank equal opportunity affirmative action employer provide equal employment opportunities qualified employees applicants employment regard race religion sex age marital status national origin sexual orientation citizenship status veteran status disability legally protected status prohibit discrimination decisions concerning recruitment hiring compensation benefits training termination promotions condition employment career development,Bank Teller,shine
Citizens Bank & Trust,citizens bank opening parttime financial services representative kansas city mo northland candidate selected responsible assessing handling customers banking needs transactions crossselling products services meet financial needs strong communication skills customer service cash handling experience invited apply one positions competitive salary benefits equal opportunity employer veteransdisabled basic qualifications high school degree equivalent education minimum years retail experience cash handling experience ability sell bank products process transactions strong customer service skills ability multitask available work flexible schedule preferred skillsexperience excellent problem resolution ability knowledge banking operations understanding sales new business development excellent verbal written communication skills sales industry experience founded citizens bank trust headquartered kansas city mo citizens locally owned managed offers services personal private commercial banking banking centers located northwest central missouri including kansas city st joseph easytoaccess mobile apps online tools make banking flexible convenient citizens committed communities offer education support accelerates financial understanding success job type parttime benefits k k matching dental insurance employee assistance program life insurance referral program vision insurance schedule monday friday weekend availability education high school equivalent preferred experience cash handling year preferred banking year preferred customer service year preferred work location one location,Part-time Bank Teller/Financial Services Representative,shine
The Bank of Grain Valley,,Bank Teller,LinkedIn
Landmark National Bank,job details level entry job location hoisington hoisington ks position full time education level none salary range hourly travel percentage negligible job shift day job category banking welcome glad interested joining team happen see vision statement everyone starts customer leaves friend take pretty seriously friend cheers loudest clients hard work rewarded sounding board wins woes guide financial decisions shape lives sound team want join growing looking associates takes landmarkable benefits offer include group health insurance options health savings accounts flexible spending accounts dental insurance vision insurance life insurance fully paid longterm disability options matching profit sharing retirement plan paid time pto program paid holidays discount various bank services employee referrals job description position summary part position look grow celebrate individuals positive friendly attitude driven authentic desire find best solutions thrives inclusive team environment extraordinary tellers provide strong problemsolving skills responding clients concerns transactions professional setting highest level accuracy compliance regulatory requirements expected team works understand bank best serve unique community minimum requirements maintain high degree discretion confidentiality skills necessary work independently team setting detailoriented organized advance communication customer service skills moderate level understanding basic personal computer programs internet word excel outlook essential functions greet enter smile sincere welcoming arriving bank develops maintains relationships clients bank associates handle client banking transactions including deposits withdraws issuing money orders cashier checks financial instruments wire transactions exchange foreign currency efficiently process check debit card orders addressing clients questions concerns inperson phone maintain balance proper cash drawer levels performs duties projects assigned physical demands performing duties job associate frequently required stand long periods time speak listen use hands touch grasp objects reach hands arms employee occasionally required walk visual ability view computer screen long periods time required must occasionally lift andor move pounds physical demands listed requirement successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions landmark national bank eeoaaadaveteran employer also require credit background check part final hiring process,Full Time Teller,shine
Bank Of America,bank hiring fulltime bank teller bank teller process transactions accurately efficiently fastpaced environment introducing products services meet customers needs candidates need previous cash handling experience customer service experience strong communication skills basic computer skills bank teller earn medical dental vision coverage much apply today estimated salary hour based qualifications,Bank Teller,hirect
Central Bank of the Midwest,job description looking energetic flexible seasonal tellers provide support banking centers kansas city seasonal teller work various locations based home banking center position sunset date august teller provide legendary service internal external customers living core values daily provide variety banking tasks handling deposits withdrawals payments greeting customers maintaining accounts engage customers exploring needs offering banking services andor products best interest customer engage business units necessary making appropriate referrals traditional nontraditional banking products services authentic engaged selfmotivated energetic highly driven passionate serving others innovative forwardthinking driven bring value customer competencies relationship building ability develop build strong relationships customers internal stakeholders communication strong ability effectively communicate oral written customers internal stakeholders problem solving ability identify problems root cause drive resolution ability escalate appropriate ensure follow business acumenbasic understanding banking industry business environment internally externally requirements high school diploma equivalent high school student actively pursuing high school education equivalent cash handling experience preferred customer service experience preferred basic math computer skills required ability maintain regular punctual attendance ability read write speak english effective oral written communication skills must possess good judgement skills solid ability handle confidential information appropriately integrity ability work quickly accurately analyze information make decisions must able operate standard office equipment commitment organizations core values,Seasonal Teller,naukari
US Bank,hiring bank accepting bank teller applications location kansas city mo bank tellers duties include handling routine financial transactions balancing cash drawer crossselling banking products providing excellent customer service successful tellers excellent interpersonal communication skills bank employees enjoy benefits medical dental vision k apply online considered bank teller position bank estimated salary hour based qualifications,Bank Teller,hirist
The Bank of Grain Valley -,,Bank Teller,hirist
"J.B. Hunt Transport Services, Inc.",job summary general supervision position responsible adding prospects portfolio acquiring new customers maintaining growing relationships preexisting customers accomplished various techniques coldcalling prospecting conducting discovery calls position focuses defining opportunity strategy sell jb hunt services customer establishing growing book business key responsibilities conduct lead generation activities new incremental business including cold calling networking opportunity prospecting methods meet customers prospective customers discuss viable opportunities effort understand business needs identify scope submit proposal finalize contract win business coordinate internal teams customer implement customers solution including participation kickoff understanding contractual obligations facilitate customer needs perform various activities related opportunity management monitoring health account includes limited customer kpi review revenue quality monitoring watching additional opportunities contract pay terms review ensure adherence agreement visit prospective existing customers corporate headquarters sites needed requires ability travel customer sites meet customer needs document sales activities crm ensure adherence policy process develop sales proposals present pricing information customers minimum qualifications high school diplomaged years transportationlogistics relevant sales experience must possess valid drivers license clean motor vehicle record jbh standards preferred qualifications bachelors degree business administrationmanagement supply chain management logistics management communication related field years working transportationlogistics sales relevant experience knowledge skills abilities ability willingness seek work drive accomplish goals ability analyze customer activities profiles information ability develop sales plans futureoriented support business strategy reflect understanding emerging well existing opportunities markets ability establish maintain healthy working relationships clients vendors peers demonstrated ability manage internal relationships external partnerships experience translating data meaningful insights close business build credibility knowledge activities responsibilities involved selling product service proficiency microsoft applications programs understanding importance meeting exceeding established targets ability drive critical activities completion education bachelors business administrationmanagement bachelors business communications bachelors logistics management bachelors supply chain management ged required high school required work experience customer serviceaccount manager marketing sales transportationlogistics job opening id sales executive open job description designed indicate general nature level work performed employees classification designed contain interpreted comprehensive inventory duties responsibilities qualifications required employees assigned job perform job successfully individual must able perform essential duty satisfactorily requirements representative knowledge skill andor ability required reasonable accommodations may made enable individuals disabilities perform essential functions,Sales Executive,hirist
FIS,position type full time type hire experienced relevant combo work education education desired bachelor commercebusiness travel percentage job descriptionat fis technology people moving forward advance way world pays banks invests believe building inclusive diverse teams together innovate help colleagues clients communities succeed youre ready grow career make impact fintech one question fis role sales executive client management quota carrier collaborate csuite level finance legal technical groups global fintech environment endless opportunities success provide industryleading solutions prospective clients team sell products services manage relationships ensure alignment client technology business strategies focus account retention continued revenue growth need extensive experience sales executive fintech financial services least years experience interacting partnering senior management understanding investment banking operations technology change landscape added bonus offer fis committed growing employees careers business offer opportunities innovate fintech inclusive diverse team atmosphere professional personal development resources contribute community competitive salary benefits vaccination requirements notice applicants employees must fully vaccinated covid individuals disability including medical condition sincerely held religious beliefs practices prevent getting vaccine may request exemption vaccine requirement privacy statement fis committed protecting privacy security personal information process order provide services clients specific information fis protects personal information online please see online privacy notice eeoc statement fis equal opportunity employer evaluate qualified applicants regard race color religion sex sexual orientation gender identity marital status genetic information national origin disability veteran status protected characteristics eeo law poster available supplement document available positions located following conditions apply made conditional offer employment required undergo drug test ada disclaimer developing job description care taken include competencies needed successfully perform position however americans disabilities ada purposes essential functions job may may described purposes ada reasonable accommodation reasonable accommodation requests reviewed evaluated casebycase basis sourcing model recruitment fis works primarily direct sourcing model relatively small portion hiring recruitment agencies fis accept resumes recruitment agencies preferred supplier list responsible related fees resumes submitted job postings employees part company pridepass,Sales Executive III Client Management,LinkedIn
AC Hotel Columbus Downtown,hiring sales manager summary sales manager concord hospitality property means hold important key hotels success develop foster hotel business direct sales marketing telemarketing direct mail tours hotel guest rooms event space responsibilities foster business proactive reactive sales efforts provide excellent customer service clients speed efficiency returning calls bookings exude proactive planning organizational skills keen sense pricing overall efficiency department provide excellent follow details account hotel departments face hotel industry events property representation professionalism character work party booking sites concord revenue management city convention centers maximization key citywide events meet exceed monthly revenue sales calls goals documentation sales activities delphi similar sales system tracking history team player times assist needed operation successful hotel benefits offer competitive wages fulltime associates eligible participate comprehensive benefit package includes medicaldentalvision plans life insurance stlt disability options options tuition assistance discounted room rates concord managed hotels plus training development career advancement opportunities concord concord hospitality invests associates providing training development levels interns executive leaders associate first culture supports inspires personal development workplace associates company built proud recognize hard work dedication commitment excellence value work life balance diversity commitment provide best customer service quality accommodations market exist concord built cornerstones quality integrity community profitability fun associates say best national company cheer heard north america concord support diversity inclusion mission great place work,Sales Manager,LinkedIn
SPECTRUM,job summary account executive responsible selling primary ancillary communications solutions small medium sized businesses specified territory primary services include coax delivered internet video voice ancillary services include custom hosting desktop security data backup data storage toll free additional email addresses static ips ae achieves sales revenue goals successful prospecting new customers well successful sale bundled services new customers ae responsible generating sales leads variety prospecting tactics working lead initial contact sale ae responsible development implementation territory plan instruction sales manager designed expand customer base assigned territory ae focused generating new internet voice video customers major duties responsibilities actively consistently support efforts simplify enhance customer experience place orders order management software work account coordinator event order automated ensure necessary administrative work necessary support sales activities including sales orders contracts billing forms sales reports accurate submitted timely manner hand customer service nonsales related client inquiries customer service department focus selling complete understanding spectrum business coax services rates individual bundled applicable taxes demonstrate selling skills product knowledge practice selling skills account executives regularly read sales books take sales courses learn new sales techniques practice implement new sales techniques regularly maintain accurate records sales prospecting activities including sales calls presentations closed sales followup activities assigned territory including use salesforcecom maintain accurate records maximize territory potential meet exceed performance standards defined department standards performance sop spectrum way sales model attend participate sales meetings established management required qualifications skillsabilities knowledge ability read write speak understand english knowledge communications technologies services emphasis telephone internet fundamentals valid drivers license satisfactory driving record education bachelors degree business marketing related field equivalent experience preferred qualifications related work experience outside sales experience high transaction short closing cycle model preferred years business business sales experience preferred proven sales history meeting exceeding targets preferred working conditions office environment environment exposure inclement weather exposure moderate noise levels physical mental requirements physical requirements vision ability close vision peripheral vision ability adjust focus mental requirements ability communicate orally writing clear straightforward manner ability maintain confidentiality ability prioritize organize effectively ability use personal computer software applications,Account Executive,glass door
Johnson & Johnson,account executive columbus oh amo sales services inc johnson johnson vision bold ambition change trajectory eye health thats operating companies weve developed solutions stage lifeto help people see better connect better live better partner eye care professionals provide worlds leading products technologies address refractive error cataracts dry eye committed using reach size good strive put quality eye care reach everyone everywhere visit follow jnjvision twitter johnson johnson vision linkedin represents amo sales services inc appropriate customer base designated geographical area placing major emphasis increasing sales monofocal refractive iols phaco ovd adjunct products new technologies assigned sales goals achieved creative consultative selling implementation marketing plans account executive provides technical product knowledge inservice support ensure customer satisfaction effectively utilizes johnson johnson sales specialists enhance productivity provide optimal customer satisfaction works synergistically johnson johnson sales personnel additional sbus coselling efforts strengthen johnson johnson customer value complies required reports requests effectively manages johnson johnson field assets include consigned products surgical instruments surgical equipment sales force automation ancillary items operates territory budgetary guidelines core job responsibilities responsible compliance applicable corporate divisional policies procedures achieves assigned sales goals execution marketing plans demonstrates independent creative consultativevalue based sales approach selling iols phaco equipment viscoelastics surgical adjuncts works synergistically laser vision correction group counterparts means providing customers full product solution selling time iols phaco adjuncts consistent current year marketing plan provides expert product knowledge regard surgical refractive techniques technical product support inservice programs innovative educational programs prepares provides detailed salesproceduralfinancial presentations new existing customers leverages effectively utilizes johnson johnsons resources sales personnel strategic partners enhance field productivity includes integration phaco inservice innovative educational programs core utilizes customer resource management system computer hardwaresoftware enhance productivity prepares submits timely basis reports requested management marketing use email effectively manages johnson johnsons field assets include iol consignments achieve target consignment ratios product samples assigned budget surgical instruments phaco demonstration equipmentaccessories computer hardwaresoftware position scope reports directly district manager dm senior district manager sdm assigned territory responsibility hitting established quota set territory disposable capital surgical nonsurgical products must manage budget travel expenses well manage budget territory consigned lenses trunk stock literature surgical equipment responsibility ae manage assets appropriately ae expected call ophthalmologists staff assigned territory grow market share area well maintain current base business must able work independently well part team support company goals sales objectives overnight travel qualifications qualifications bachelors degree accredited collegeuniversity years professional selling experience required surgical experience preferred required must able work independently well part team support company goals sales objectives ability travel may include overnight weekend travel required johnson johnson mission change trajectory health humanity starts creating worlds healthiest workforce cuttingedge programs policies empower physical mental emotional financial health employees ones love candidates offered employment must show proof covid vaccination secure approved accommodation prior commencement employment support wellbeing employees families communities live work information support whole health employees wellness career life journey please visit johnson johnson family companies equal opportunity employers qualified applicants receive consideration employment regard race color religion sex sexual orientation gender identity genetic information national origin protected veteran status disability status characteristic protected law primary location united statesohiocolumbus organization amo sales services inc job function sales requisition id,"Account Executive - Columbus, OH - AMO Sales and Services, Inc..",hirist
Accenture,accenture global professional services company leading capabilities digital cloud security combining unmatched experience specialized skills industries offer strategy consulting interactive technology operations servicesall powered worlds largest network advanced technology intelligent operations centers people deliver promise technology human ingenuity day serving clients countries embrace power change create value shared success clients people shareholders partners communities people sales career track grow pipeline sales supporting managing leading origination closing sales opportunities specific area range accenture offerings progress deepening sales skills andor developing new related skills growing complex sales roles laterally upward current role sales professionals drive sales process outcomes dedicated basis growing profitable pipeline andor backlog sales deal origination sales negotiations closure workday government account executive manages opportunity sales pursuit close using deep sales process offering expertise develop relationships key buyers decision makers new existing clients protect grow business act point contact resolution escalation key items client internally professional position level accenture following responsibilities provides solutions complex business problems areas responsibility analysis situations requires indepth knowledge organizational objectives involved setting strategic direction establish term goals area responsibility interacts senior management levels client andor accenture involves negotiating influencing significant matters latitude decisionmaking determining objectives approaches critical assignments identifies key stakeholders build relationships institutions assigned territory understand communicate institutions needs strategic initiative identify potential sales opportunities create manage account plans track close opportunities educate institutions stakeholders products services raise accenture brand awareness industry develop enhance relationship workday account executives manage rfp responses presentation ability travel qualifications job qualifications heres need years experience selling workday solutions erp solutions government years sales experience professional services organization points proven ability build manage foster teamoriented environment proven ability work creatively analytically problemsolving environment desire work information systems environment excellent communication written oral interpersonal skills excellent leadership management skills required thecolorado equal pay transparency act accenture provides reasonable range minimum compensation roles may hired colorado actual compensation influenced wide array factors including limited skill set level experience specific office location state colorado range starting pay role covid update safety wellbeing candidates people families continues top priority travel restrictions change interviews continue conducted virtually subject applicable law please aware accenture requires employees fully vaccinated condition employment accenture consider requests accommodation vaccination requirement recruiting process believe unwavering commitment diversity aim one people full sense belonging organization business imperative person accenture responsibility create sustain inclusive environment inclusion diversity fundamental culture core values rich diversity makes innovative creative helps better serve clients communities equal employment opportunity statement accenture equal opportunity employer believe one discriminated differences age disability ethnicity gender gender identity expression religion sexual orientation employment decisions shall made regard age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity expression genetic information marital status citizenship status basis protected federal state local law accenture committed providing veteran employment opportunities service men women requesting accommodation accenture committed providing equal employment opportunities persons disabilities religious observances including reasonable accommodation needed hired accenture require accommodation perform essential functions role asked participate reasonable accommodation process accommodations made facilitate recruiting process guarantee future continued accommodations hired employment statements applicants employment must work authorization future require sponsorship visa employment authorization united states candidates currently employed client accenture affiliated accenture business may eligible consideration job candidates obligated disclose sealed expunged records conviction part hiring process company discharge manner discriminate employees applicants inquired discussed disclosed pay pay employee applicant additionally employees access compensation information employees applicants part essential job functions disclose pay employees applicants individuals otherwise access compensation information disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent companys legal duty furnish information,Workday Sales Director,shine
TQL,role sales representative tql columbus build book business handling customers transportation needs means youre single point contact get job done right first time time youre problemsolver quick decision maker drive financial freedom sales career theres secret success invest people technology delivering best customer service business ready get started whats base salary uncapped commission opportunity interested paid relocation tqls hq cincinnati oh health dental vision coverage week paid training mentoring program ability work office one offices nationwide personalized career path sales managers promoted win wherever go voted top workplaces usa forbes americas best employers job make calls establish relationships build book business ground sell close new existing customers move freight negotiate price shippers carriers manage daily shipments resolving issues ensure pickup delivery time honest proactive communications internally externally need following get door college degree preferred successful sales representatives one determination work harder anyone know strong negotiation skills ability handle conflict ability work latest technologies prefer sales experience top sales representatives diverse backgrounds obsession great customer service office location south front street columbus oh,Account Executive (Inside Sales),indeed
